delta,exact_energy,vqe_energy,energy_error,fidelity,p_minus,p_zero,p_plus,leakage
-8.0,-4.0617860444875875,-4.061786009979077,3.450851071562511e-08,0.9999999954671845,0.9849313542165775,0.01505431941349624,1.4326279705643346e-05,9.022050977021491e-11
-7.5,-3.570348042083446,-3.5703480343005007,7.782945399270602e-09,0.9999999984537633,0.9805577399765758,0.019420782384983116,2.1477565433462524e-05,7.300771340109554e-11
-7.0,-3.0815968650948715,-3.0815968621706866,2.9241848942263005e-09,0.999999999105798,0.9740173563446082,0.025949954602505255,3.268905026984278e-05,2.616779680757367e-12
-6.5,-2.5969785307433995,-2.5969785283145033,2.4288961952834143e-09,0.9999999998163538,0.9636941097626321,0.03625323987731107,5.2650344267250164e-05,1.5789467146281573e-11
-6.0,-2.1191324895806267,-2.119132457431668,3.214895860637057e-08,0.9999999891151841,0.9462383606659942,0.05367072333878594,9.091574698350658e-05,2.4823623497293614e-10
-5.5,-1.6532917694672689,-1.6532917404361651,2.9031103743193398e-08,0.9999999875331995,0.9139852763735947,0.08584280032682612,0.0001719231158494868,1.8372974070452542e-10
-5.0,-1.2107460218298047,-1.210745964928388,5.690141668956983e-08,0.9999999608624662,0.8489788285617075,0.15066055709618387,0.0003606143279526003,1.4156141353286548e-11
-4.5,-0.8165638999551068,-0.8165638617880742,3.8167032645475274e-08,0.9999999721596369,0.7134123263905328,0.285766361983955,0.0008213116128026894,1.2709640012005533e-11
-4.0,-0.514895617042672,-0.5148955416762337,7.536643820138522e-08,0.9999999364471878,0.4847160238088971,0.5135111016664765,0.0017728740393270581,4.852988291937994e-10
-3.5,-0.3322938211756836,-0.33229372390044176,9.727524186153857e-08,0.9999999191350503,0.26465008540599516,0.7323627176419615,0.0029871968257228743,1.2632035057365016e-10
-3.0,-0.236697447708906,-0.23669701238701268,4.353218933106362e-07,0.9999997022733307,0.14029937834876124,0.8556178333155686,0.004082787765911742,5.697582714373941e-10
-2.5,-0.18569961947861247,-0.1856995569373634,6.254124906845959e-08,0.9999999724089932,0.08053910068039138,0.9143430022236837,0.00511789640088683,6.950381257376983e-10
-2.0,-0.15653402265048455,-0.15653400702969122,1.5620793325510363e-08,0.9999999984080532,0.050706128702117076,0.943073380885617,0.006220489309989686,1.1022762297487755e-09
-1.5,-0.13906414812885717,-0.13906414751088603,6.179711464771032e-10,0.9999999998782414,0.03439383873308263,0.9580747758601211,0.007531385386167346,2.0628841835466417e-11
-1.0,-0.12865235768997196,-0.1286523452064281,1.2483543865293711e-08,0.9999999975112583,0.02467984991979837,0.9661465291826598,0.009173620891657592,5.884434892848383e-12
-0.5,-0.1230786103724904,-0.1230785776979082,3.2674582206571046e-08,0.999999991569072,0.01850065856862124,0.9701569351768871,0.011342406134890326,1.1960133697384824e-10
0.0,-0.12132034355964301,-0.12132026269975826,8.085988474626493e-08,0.9999999806329661,0.014264784491818483,0.9714349220821679,0.014300293422487285,3.5264477658739062e-12
0.5,-0.1230786103724904,-0.12307857457990501,3.579258539554431e-08,0.9999999914837046,0.011362429012829295,0.9701776572461694,0.01845991368840526,5.259622760848044e-11
