delta,exact_energy,vqe_energy,energy_error,fidelity,p_minus,p_zero,p_plus,leakage
-8.0,-4.0617860444875875,-4.0617860181826435,2.630494400079897e-08,0.999999998305521,0.9849417941118555,0.015043648686693004,1.455571694958737e-05,1.4845020305001561e-09
-7.5,-3.570348042083446,-3.570347962999966,7.908348020890799e-08,0.9999999854767454,0.9805984011254313,0.019380636163563603,2.096202540715904e-05,6.855979410249878e-10
-7.0,-3.0815968650948715,-3.0815967398602737,1.252345978031144e-07,0.9999999714510099,0.9739757876908083,0.025991247002544775,3.296275519464671e-05,2.5514521014281316e-09
-6.5,-2.5969785307433995,-2.5969785075179357,2.322546377442336e-08,0.9999999952649121,0.9637170503491708,0.03623007373554754,5.287512100497247e-05,7.94276544272967e-10
-6.0,-2.1191324895806267,-2.119132465960716,2.3619910916039544e-08,0.9999999930800008,0.9462285314143667,0.053679701606331884,9.176668747542597e-05,2.9182596870481104e-10
-5.5,-1.6532917694672689,-1.6532915745420764,1.9492519243158313e-07,0.9999998958425498,0.9141046225176843,0.08572354647405993,0.00017183042403851924,5.842173992862994e-10
-5.0,-1.2107460218298047,-1.2107460153789251,6.450879608266291e-09,0.9999999964885744,0.8488793722652561,0.15075896764657395,0.0003616599814087573,1.0676114174935155e-10
-4.5,-0.8165638999551068,-0.8165638540233946,4.593171221145553e-08,0.9999999592073585,0.7134465111347414,0.28573001983856766,0.0008234690187771694,7.913548011172578e-12
-4.0,-0.514895617042672,-0.514895298557521,3.184851509185904e-07,0.9999997331335964,0.4849784532618215,0.5132536869723278,0.0017678558466307245,3.919219948302471e-09
-3.5,-0.3322938211756836,-0.3322934406020206,3.8057366302801654e-07,0.999999670287422,0.26490624083309144,0.7321123662095984,0.002981392494098307,4.632121006479214e-10
-3.0,-0.236697447708906,-0.23669743637941387,1.1329492122236218e-08,0.9999999921822529,0.1399823897859797,0.8559315888462258,0.004086021360411916,7.382557339834457e-12
-2.5,-0.18569961947861247,-0.18569924820701633,3.7127159613348226e-07,0.9999998526948465,0.08064468192010446,0.9142622750875298,0.005093042498835815,4.935296315212744e-10
-2.0,-0.15653402265048455,-0.1565339840652431,3.85852414463983e-08,0.9999999847186934,0.050748759122072176,0.9430363166370224,0.006214924238423368,2.482129560988362e-12
-1.5,-0.13906414812885717,-0.13906401762837017,1.3050048700002925e-07,0.9999999599326965,0.034456675916554644,0.9580262003542066,0.007517123614647519,1.1459130821882211e-10
-1.0,-0.12865235768997196,-0.12865227317567562,8.451429633904439e-08,0.9999999810985786,0.024700653843099125,0.9661379280508543,0.00916141804932689,5.6719400856844274e-11
-0.5,-0.1230786103724904,-0.12307856224833946,4.8124150942019384e-08,0.9999999900632417,0.01848674475192011,0.9701844181464313,0.011328836716677998,3.849708784648871e-10
0.0,-0.12132034355964301,-0.12131958003258125,7.635270617561973e-07,0.999999815473242,0.014339422877533146,0.9714563762284244,0.014204200885502376,8.540240869474255e-12
0.5,-0.1230786103724904,-0.12307857015176404,4.022072636056251e-08,0.9999999896887326,0.011356410883392613,0.9701917125330217,0.01845187646017481,1.2341086770877967e-10
1.0,-0.12865235768997196,-0.12865233589129677,2.1798675198247963e-08,0.9999999954075176,0.009192192810443723,0.9661460363866334,0.024661770539142206,2.637805876098671e-10
1.5,-0.13906414812885717,-0.13906411880986047,2.9318996702665245e-08,0.9999999912721302,0.007538601995814441,0.9581018479455491,0.034359549858109906,2.0052641132699464e-10
2.0,-0.15653402265048455,-0.15653380407155004,2.1857893450771826e-07,0.99999990833402,0.006224580931530871,0.9432108111120289,0.050564607119509185,8.369311016139356e-10
2.5,-0.18569961947861247,-0.18569941802508483,2.014535276373408e-07,0.9999998987454143,0.005119874931617252,0.9146002631544947,0.0802798608748219,1.0390657544979186e-09
3.0,-0.236697447708906,-0.23669713374218793,3.139667180684924e-07,0.9999997884377588,0.004091857623234219,0.8563049664602124,0.13960317549711337,4.194402626023957e-10
3.5,-0.3322938211756836,-0.33229369027981503,1.308958685886097e-07,0.9999999152890755,0.002994658405768569,0.7328533961788567,0.2641519453900182,2.5356663706417038e-11
4.0,-0.514895617042672,-0.5148954213929525,1.956497194255391e-07,0.9999998222998033,0.0017706336169064087,0.5141823013418133,0.4840470641231801,9.181003636096052e-10
4.5,-0.8165638999551068,-0.816563531881062,3.680740447986608e-07,0.9999996755991639,0.0008248995754666844,0.28642573968563395,0.7127493599649362,7.739632886064765e-10
5.0,-1.2107460218298047,-1.2107458273312106,1.9449859411935222e-07,0.9999998621194232,0.0003625964622423795,0.15106560841640093,0.8485717949717358,1.4962069222317334e-10
5.5,-1.6532917694672689,-1.6532917136590703,5.5808198506923645e-08,0.9999999738337373,0.00017328805451254366,0.08599157889922276,0.9138351325294629,5.168019368981274e-10
6.0,-2.1191324895806267,-2.1191324546551695,3.4925457192969134e-08,0.9999999857589505,9.162385238255102e-05,0.0537687110977167,0.9461396647998686,2.500324381739244e-10
6.5,-2.5969785307433995,-2.59697806348232,4.6726107960637364e-07,0.9999998351966944,5.308993942243985e-05,0.03640431589589225,0.9635425920620015,2.102683761176655e-09
7.0,-3.0815968650948715,-3.0815967047801656,1.6031470595478936e-07,0.9999999507099063,3.30097833238958e-05,0.026010444103723232,0.9739565459212027,1.917500657614451e-10
7.5,-3.570348042083446,-3.570347805695182,2.3638826407434976e-07,0.9999999486521285,2.1016359480166944e-05,0.019471223340790912,0.9805077583917715,1.907957780712361e-09
8.0,-4.0617860444875875,-4.061786006659308,3.78282791757556e-08,0.9999999954835708,1.4802394019148792e-05,0.015053152014798643,0.984932044798316,7.92866172043562e-10
